framework,dataset,elapsed_s,cpu_pct_total,net_rx_mib_total,net_tx_mib_total,mem_used_mib_total,containers_in_sum
SPARK,Email-EuAll,0,337.030,0.015,0.009,690.900,2
SPARK,cit-Patents,0,242.390,0.380,0.380,680.600,2
SPARK,cit-Patents,5,771.100,0.540,0.537,1921.456,2
SPARK,cit-Patents,10,112.310,0.851,0.847,482.200,2
SPARK,soc-LiveJournal1,0,236.530,0.851,0.847,624.000,2
SPARK,soc-LiveJournal1,5,790.390,1.013,1.009,1905.616,2
SPARK,soc-LiveJournal1,10,782.790,1.134,1.143,1934.964,2
SPARK,soc-LiveJournal1,15,784.330,1.291,0.347,1949.876,2
SPARK,soc-LiveJournal1,20,484.010,1.395,1.427,1956.972,2
SPARK,soc-pokec-relationships,0,214.890,1.673,1.661,582.300,2
SPARK,soc-pokec-relationships,5,777.680,1.829,1.827,1903.392,2
SPARK,soc-pokec-relationships,10,384.930,1.956,1.933,1902.820,2
