dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
Email-EuAll,1767074317,namenode,102.21%,425MiB / 3.828GiB,10.84%,24MB / 5.45GB,1.17GB / 370MB,85
Email-EuAll,1767074317,datanode,0.10%,358.3MiB / 3.828GiB,9.14%,5.76GB / 5.79GB,5.89GB / 6.48GB,66
Email-EuAll,1767074317,resourcemanager,0.48%,517.8MiB / 3.828GiB,13.21%,2.05MB / 986kB,329MB / 459MB,275
Email-EuAll,1767074317,nodemanager,0.64%,556.8MiB / 3.828GiB,14.20%,5.77GB / 319MB,6.15GB / 11.5GB,115
Email-EuAll,1767074325,namenode,2.98%,684.5MiB / 3.828GiB,17.47%,24MB / 5.45GB,1.17GB / 370MB,97
Email-EuAll,1767074325,datanode,0.60%,360.6MiB / 3.828GiB,9.20%,5.76GB / 5.79GB,5.89GB / 6.48GB,67
Email-EuAll,1767074325,resourcemanager,0.98%,518.3MiB / 3.828GiB,13.22%,2.06MB / 999kB,330MB / 459MB,278
Email-EuAll,1767074325,nodemanager,173.41%,664.8MiB / 3.828GiB,16.96%,5.77GB / 319MB,6.15GB / 11.5GB,147
Email-EuAll,1767074332,namenode,1.63%,687.8MiB / 3.828GiB,17.55%,24.1MB / 5.45GB,1.17GB / 370MB,97
Email-EuAll,1767074332,datanode,0.10%,361.6MiB / 3.828GiB,9.22%,5.76GB / 5.79GB,5.89GB / 6.48GB,65
Email-EuAll,1767074332,resourcemanager,1.51%,518.5MiB / 3.828GiB,13.23%,2.07MB / 1.01MB,330MB / 459MB,276
Email-EuAll,1767074332,nodemanager,132.70%,1.007GiB / 3.828GiB,26.32%,5.77GB / 320MB,6.15GB / 11.5GB,247
Email-EuAll,1767074340,namenode,3.03%,689.8MiB / 3.828GiB,17.60%,24.1MB / 5.45GB,1.17GB / 370MB,94
Email-EuAll,1767074340,datanode,0.50%,362.6MiB / 3.828GiB,9.25%,5.76GB / 5.79GB,5.9GB / 6.48GB,67
Email-EuAll,1767074340,resourcemanager,6.31%,518.8MiB / 3.828GiB,13.24%,2.08MB / 1.01MB,330MB / 459MB,276
Email-EuAll,1767074340,nodemanager,105.07%,1.022GiB / 3.828GiB,26.70%,5.77GB / 320MB,6.15GB / 11.5GB,248
Email-EuAll,1767074347,namenode,46.67%,705.8MiB / 3.828GiB,18.01%,24.1MB / 5.45GB,1.17GB / 371MB,98
Email-EuAll,1767074347,datanode,4.72%,367.4MiB / 3.828GiB,9.37%,5.76GB / 5.79GB,5.9GB / 6.49GB,65
Email-EuAll,1767074347,resourcemanager,16.85%,519.7MiB / 3.828GiB,13.26%,2.09MB / 1.01MB,331MB / 459MB,276
Email-EuAll,1767074347,nodemanager,15.86%,1.006GiB / 3.828GiB,26.28%,5.77GB / 321MB,6.15GB / 11.5GB,173
Email-EuAll,1767074355,namenode,2.48%,707.3MiB / 3.828GiB,18.05%,24.1MB / 5.45GB,1.17GB / 371MB,98
Email-EuAll,1767074355,datanode,1.20%,368.9MiB / 3.828GiB,9.41%,5.76GB / 5.79GB,5.9GB / 6.49GB,66
Email-EuAll,1767074355,resourcemanager,1.59%,521.1MiB / 3.828GiB,13.30%,2.1MB / 1.03MB,332MB / 459MB,281
Email-EuAll,1767074355,nodemanager,234.81%,993.7MiB / 3.828GiB,25.35%,5.77GB / 321MB,6.16GB / 11.5GB,224
Email-EuAll,1767074362,namenode,6.35%,708.7MiB / 3.828GiB,18.08%,24.2MB / 5.45GB,1.17GB / 371MB,95
Email-EuAll,1767074362,datanode,0.85%,370MiB / 3.828GiB,9.44%,5.76GB / 5.79GB,5.9GB / 6.49GB,67
Email-EuAll,1767074362,resourcemanager,2.45%,521.1MiB / 3.828GiB,13.29%,2.11MB / 1.03MB,332MB / 459MB,277
Email-EuAll,1767074362,nodemanager,43.93%,1023MiB / 3.828GiB,26.11%,5.78GB / 321MB,6.16GB / 11.5GB,222
Email-EuAll,1767074370,namenode,6.23%,712MiB / 3.828GiB,18.17%,24.2MB / 5.45GB,1.17GB / 371MB,92
Email-EuAll,1767074370,datanode,7.66%,372MiB / 3.828GiB,9.49%,5.76GB / 5.79GB,5.9GB / 6.49GB,66
Email-EuAll,1767074370,resourcemanager,2.37%,521.2MiB / 3.828GiB,13.30%,2.11MB / 1.04MB,332MB / 459MB,277
Email-EuAll,1767074370,nodemanager,66.23%,1.021GiB / 3.828GiB,26.68%,5.78GB / 321MB,6.16GB / 11.5GB,215
