dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
cit-Patents,1767074387,namenode,186.77%,499.7MiB / 3.828GiB,12.75%,24.7MB / 5.73GB,1.17GB / 371MB,86
cit-Patents,1767074387,datanode,0.14%,386.4MiB / 3.828GiB,9.86%,6.04GB / 5.8GB,5.91GB / 6.76GB,65
cit-Patents,1767074387,resourcemanager,2.27%,521.5MiB / 3.828GiB,13.31%,2.12MB / 1.04MB,332MB / 459MB,277
cit-Patents,1767074387,nodemanager,0.92%,596.7MiB / 3.828GiB,15.22%,5.78GB / 321MB,6.16GB / 11.5GB,121
cit-Patents,1767074394,namenode,5.65%,698.5MiB / 3.828GiB,17.82%,24.7MB / 5.73GB,1.18GB / 371MB,96
cit-Patents,1767074394,datanode,1.76%,389.3MiB / 3.828GiB,9.93%,6.04GB / 5.8GB,5.91GB / 6.76GB,67
cit-Patents,1767074394,resourcemanager,1.65%,522MiB / 3.828GiB,13.32%,2.13MB / 1.05MB,332MB / 459MB,279
cit-Patents,1767074394,nodemanager,185.90%,777.6MiB / 3.828GiB,19.84%,5.78GB / 321MB,6.16GB / 11.5GB,153
cit-Patents,1767074402,namenode,3.69%,683MiB / 3.828GiB,17.43%,24.7MB / 5.73GB,1.18GB / 382MB,95
cit-Patents,1767074402,datanode,0.12%,367.2MiB / 3.828GiB,9.37%,6.04GB / 5.8GB,5.91GB / 6.77GB,65
cit-Patents,1767074402,resourcemanager,0.85%,520.8MiB / 3.828GiB,13.29%,2.14MB / 1.06MB,332MB / 460MB,277
cit-Patents,1767074402,nodemanager,180.44%,1.129GiB / 3.828GiB,29.50%,5.78GB / 322MB,6.16GB / 11.5GB,245
cit-Patents,1767074410,namenode,2.36%,687.3MiB / 3.828GiB,17.53%,24.7MB / 5.73GB,1.18GB / 382MB,93
cit-Patents,1767074410,datanode,1.47%,314.7MiB / 3.828GiB,8.03%,6.05GB / 5.86GB,5.98GB / 6.82GB,66
cit-Patents,1767074410,resourcemanager,0.52%,508MiB / 3.828GiB,12.96%,2.15MB / 1.06MB,333MB / 469MB,277
cit-Patents,1767074410,nodemanager,105.36%,1.404GiB / 3.828GiB,36.68%,5.84GB / 322MB,6.17GB / 11.5GB,253
cit-Patents,1767074417,namenode,4.19%,688.1MiB / 3.828GiB,17.56%,24.8MB / 5.73GB,1.18GB / 382MB,92
cit-Patents,1767074417,datanode,0.14%,317.6MiB / 3.828GiB,8.10%,6.05GB / 5.91GB,6.03GB / 6.83GB,66
cit-Patents,1767074417,resourcemanager,3.29%,508.6MiB / 3.828GiB,12.98%,2.16MB / 1.06MB,333MB / 470MB,277
cit-Patents,1767074417,nodemanager,128.59%,1.397GiB / 3.828GiB,36.50%,5.89GB / 323MB,6.17GB / 11.6GB,251
cit-Patents,1767074425,namenode,4.39%,689MiB / 3.828GiB,17.58%,24.8MB / 5.73GB,1.18GB / 382MB,92
cit-Patents,1767074425,datanode,3.95%,320.1MiB / 3.828GiB,8.17%,6.05GB / 5.94GB,6.07GB / 6.83GB,67
cit-Patents,1767074425,resourcemanager,0.89%,508.6MiB / 3.828GiB,12.98%,2.16MB / 1.06MB,333MB / 470MB,277
cit-Patents,1767074425,nodemanager,105.20%,1.406GiB / 3.828GiB,36.75%,5.92GB / 323MB,6.17GB / 11.6GB,253
cit-Patents,1767074432,namenode,1.23%,689.9MiB / 3.828GiB,17.60%,24.8MB / 5.73GB,1.18GB / 382MB,91
cit-Patents,1767074432,datanode,3.42%,317.5MiB / 3.828GiB,8.10%,6.05GB / 5.99GB,6.12GB / 6.84GB,68
cit-Patents,1767074432,resourcemanager,0.70%,508.8MiB / 3.828GiB,12.98%,2.17MB / 1.07MB,333MB / 470MB,277
cit-Patents,1767074432,nodemanager,126.44%,1.391GiB / 3.828GiB,36.34%,5.95GB / 323MB,6.22GB / 11.6GB,260
cit-Patents,1767074440,namenode,1.49%,690.4MiB / 3.828GiB,17.61%,24.8MB / 5.73GB,1.18GB / 382MB,91
cit-Patents,1767074440,datanode,3.98%,317.3MiB / 3.828GiB,8.09%,6.05GB / 6.06GB,6.19GB / 6.84GB,68
cit-Patents,1767074440,resourcemanager,0.75%,508.8MiB / 3.828GiB,12.98%,2.18MB / 1.07MB,333MB / 470MB,277
cit-Patents,1767074440,nodemanager,173.30%,1.415GiB / 3.828GiB,36.96%,6.04GB / 324MB,6.22GB / 11.6GB,257
cit-Patents,1767074447,namenode,2.80%,691.8MiB / 3.828GiB,17.65%,24.8MB / 5.73GB,1.18GB / 382MB,91
cit-Patents,1767074447,datanode,0.23%,319.1MiB / 3.828GiB,8.14%,6.05GB / 6.08GB,6.21GB / 6.84GB,67
cit-Patents,1767074447,resourcemanager,1.97%,509.1MiB / 3.828GiB,12.99%,2.18MB / 1.07MB,334MB / 470MB,277
cit-Patents,1767074447,nodemanager,107.15%,1.425GiB / 3.828GiB,37.23%,6.06GB / 324MB,6.22GB / 11.7GB,254
cit-Patents,1767074455,namenode,2.66%,694MiB / 3.828GiB,17.71%,24.8MB / 5.73GB,1.18GB / 382MB,89
cit-Patents,1767074455,datanode,0.18%,308MiB / 3.828GiB,7.86%,6.05GB / 6.08GB,6.21GB / 6.84GB,66
cit-Patents,1767074455,resourcemanager,0.82%,509.3MiB / 3.828GiB,12.99%,2.19MB / 1.07MB,334MB / 470MB,277
cit-Patents,1767074455,nodemanager,157.70%,1.281GiB / 3.828GiB,33.48%,6.06GB / 324MB,6.26GB / 11.7GB,255
cit-Patents,1767074462,namenode,86.30%,714.7MiB / 3.828GiB,18.23%,24.8MB / 5.73GB,1.18GB / 383MB,97
cit-Patents,1767074462,datanode,5.81%,313.7MiB / 3.828GiB,8.00%,6.08GB / 6.08GB,6.21GB / 6.88GB,65
cit-Patents,1767074462,resourcemanager,10.42%,509.8MiB / 3.828GiB,13.01%,2.2MB / 1.08MB,334MB / 470MB,277
cit-Patents,1767074462,nodemanager,14.51%,1.038GiB / 3.828GiB,27.13%,6.06GB / 357MB,6.26GB / 11.7GB,172
cit-Patents,1767074469,namenode,2.58%,716.8MiB / 3.828GiB,18.29%,24.9MB / 5.73GB,1.18GB / 383MB,97
cit-Patents,1767074469,datanode,0.10%,315.2MiB / 3.828GiB,8.04%,6.08GB / 6.08GB,6.21GB / 6.88GB,66
cit-Patents,1767074469,resourcemanager,1.01%,510.2MiB / 3.828GiB,13.02%,2.21MB / 1.09MB,334MB / 470MB,281
cit-Patents,1767074469,nodemanager,204.92%,990.4MiB / 3.828GiB,25.27%,6.06GB / 357MB,6.28GB / 11.7GB,173
cit-Patents,1767074476,namenode,4.79%,718.6MiB / 3.828GiB,18.33%,24.9MB / 5.73GB,1.18GB / 383MB,94
cit-Patents,1767074476,datanode,3.30%,319.1MiB / 3.828GiB,8.14%,6.08GB / 6.09GB,6.21GB / 6.88GB,66
cit-Patents,1767074476,resourcemanager,1.99%,510.1MiB / 3.828GiB,13.01%,2.22MB / 1.1MB,335MB / 470MB,277
cit-Patents,1767074476,nodemanager,202.40%,1.244GiB / 3.828GiB,32.50%,6.06GB / 357MB,6.28GB / 11.7GB,254
cit-Patents,1767074484,namenode,1.07%,719.9MiB / 3.828GiB,18.37%,24.9MB / 5.73GB,1.18GB / 383MB,92
cit-Patents,1767074484,datanode,0.43%,318.1MiB / 3.828GiB,8.12%,6.08GB / 6.12GB,6.21GB / 6.88GB,67
cit-Patents,1767074484,resourcemanager,8.51%,508.2MiB / 3.828GiB,12.97%,2.23MB / 1.1MB,335MB / 472MB,277
cit-Patents,1767074484,nodemanager,61.25%,1.025GiB / 3.828GiB,26.78%,6.1GB / 357MB,6.29GB / 11.8GB,222
cit-Patents,1767074491,namenode,30.05%,739.3MiB / 3.828GiB,18.86%,24.9MB / 5.73GB,1.18GB / 383MB,93
cit-Patents,1767074491,datanode,0.67%,320.2MiB / 3.828GiB,8.17%,6.08GB / 6.12GB,6.21GB / 6.88GB,66
cit-Patents,1767074491,resourcemanager,1.41%,508.2MiB / 3.828GiB,12.97%,2.23MB / 1.1MB,335MB / 472MB,277
cit-Patents,1767074491,nodemanager,27.13%,1.041GiB / 3.828GiB,27.20%,6.1GB / 358MB,6.29GB / 11.8GB,215
