dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
soc-LiveJournal1,1767074517,namenode,181.30%,520.8MiB / 3.828GiB,13.29%,32.9MB / 6.83GB,1.95GB / 389MB,86
soc-LiveJournal1,1767074517,datanode,2.31%,355.4MiB / 3.828GiB,9.07%,7.18GB / 6.12GB,6.22GB / 8.01GB,65
soc-LiveJournal1,1767074517,resourcemanager,0.59%,487.8MiB / 3.828GiB,12.45%,2.24MB / 1.1MB,335MB / 485MB,277
soc-LiveJournal1,1767074517,nodemanager,0.55%,594.1MiB / 3.828GiB,15.16%,6.1GB / 358MB,6.29GB / 11.8GB,120
soc-LiveJournal1,1767074524,namenode,1.76%,731MiB / 3.828GiB,18.65%,32.9MB / 6.83GB,1.98GB / 389MB,97
soc-LiveJournal1,1767074524,datanode,0.14%,360.6MiB / 3.828GiB,9.20%,7.18GB / 6.12GB,6.23GB / 8.01GB,66
soc-LiveJournal1,1767074524,resourcemanager,1.10%,489.4MiB / 3.828GiB,12.49%,2.25MB / 1.11MB,336MB / 485MB,279
soc-LiveJournal1,1767074524,nodemanager,162.27%,716.1MiB / 3.828GiB,18.27%,6.1GB / 358MB,6.32GB / 11.8GB,150
soc-LiveJournal1,1767074532,namenode,6.47%,715.8MiB / 3.828GiB,18.26%,32.9MB / 6.83GB,1.98GB / 406MB,96
soc-LiveJournal1,1767074532,datanode,0.37%,361MiB / 3.828GiB,9.21%,7.18GB / 6.12GB,6.24GB / 8.01GB,65
soc-LiveJournal1,1767074532,resourcemanager,3.82%,489.9MiB / 3.828GiB,12.50%,2.26MB / 1.12MB,336MB / 485MB,277
soc-LiveJournal1,1767074532,nodemanager,100.23%,1.014GiB / 3.828GiB,26.50%,6.1GB / 358MB,6.34GB / 11.8GB,227
soc-LiveJournal1,1767074539,namenode,1.64%,699.8MiB / 3.828GiB,17.85%,32.9MB / 6.83GB,1.98GB / 408MB,95
soc-LiveJournal1,1767074539,datanode,3.85%,357.7MiB / 3.828GiB,9.13%,7.18GB / 6.18GB,6.3GB / 8.01GB,66
soc-LiveJournal1,1767074539,resourcemanager,0.67%,489.1MiB / 3.828GiB,12.48%,2.27MB / 1.13MB,336MB / 485MB,277
soc-LiveJournal1,1767074539,nodemanager,127.63%,1.406GiB / 3.828GiB,36.73%,6.14GB / 359MB,6.37GB / 11.8GB,256
soc-LiveJournal1,1767074547,namenode,1.98%,700.6MiB / 3.828GiB,17.88%,32.9MB / 6.83GB,1.98GB / 408MB,93
soc-LiveJournal1,1767074547,datanode,3.68%,357.5MiB / 3.828GiB,9.12%,7.18GB / 6.24GB,6.36GB / 8.01GB,66
soc-LiveJournal1,1767074547,resourcemanager,0.41%,489.5MiB / 3.828GiB,12.49%,2.28MB / 1.13MB,336MB / 485MB,277
soc-LiveJournal1,1767074547,nodemanager,188.45%,1.437GiB / 3.828GiB,37.55%,6.21GB / 359MB,6.37GB / 11.8GB,252
soc-LiveJournal1,1767074554,namenode,0.79%,701.4MiB / 3.828GiB,17.90%,32.9MB / 6.83GB,1.98GB / 408MB,92
soc-LiveJournal1,1767074554,datanode,0.66%,360.7MiB / 3.828GiB,9.20%,7.18GB / 6.27GB,6.39GB / 8.01GB,65
soc-LiveJournal1,1767074554,resourcemanager,5.65%,489.4MiB / 3.828GiB,12.49%,2.28MB / 1.13MB,336MB / 485MB,277
soc-LiveJournal1,1767074554,nodemanager,109.99%,1.448GiB / 3.828GiB,37.82%,6.24GB / 359MB,6.37GB / 11.9GB,253
soc-LiveJournal1,1767074562,namenode,2.30%,702.5MiB / 3.828GiB,17.92%,32.9MB / 6.83GB,1.98GB / 408MB,92
soc-LiveJournal1,1767074562,datanode,8.72%,366.2MiB / 3.828GiB,9.34%,7.18GB / 6.28GB,6.4GB / 8.01GB,68
soc-LiveJournal1,1767074562,resourcemanager,1.10%,490.2MiB / 3.828GiB,12.51%,2.29MB / 1.13MB,337MB / 485MB,277
soc-LiveJournal1,1767074562,nodemanager,134.07%,1.423GiB / 3.828GiB,37.17%,6.26GB / 359MB,6.41GB / 11.9GB,260
soc-LiveJournal1,1767074569,namenode,2.05%,705.8MiB / 3.828GiB,18.01%,32.9MB / 6.83GB,1.98GB / 410MB,91
soc-LiveJournal1,1767074569,datanode,4.43%,361.2MiB / 3.828GiB,9.22%,7.18GB / 6.35GB,6.47GB / 8.02GB,68
soc-LiveJournal1,1767074569,resourcemanager,1.12%,491.5MiB / 3.828GiB,12.54%,2.3MB / 1.13MB,337MB / 485MB,277
soc-LiveJournal1,1767074569,nodemanager,114.05%,1.457GiB / 3.828GiB,38.07%,6.32GB / 360MB,6.42GB / 11.9GB,259
soc-LiveJournal1,1767074577,namenode,1.50%,706.2MiB / 3.828GiB,18.02%,32.9MB / 6.83GB,1.98GB / 410MB,90
soc-LiveJournal1,1767074577,datanode,2.17%,360.5MiB / 3.828GiB,9.20%,7.18GB / 6.4GB,6.53GB / 8.02GB,67
soc-LiveJournal1,1767074577,resourcemanager,1.08%,491.8MiB / 3.828GiB,12.55%,2.3MB / 1.14MB,337MB / 485MB,277
soc-LiveJournal1,1767074577,nodemanager,121.88%,1.462GiB / 3.828GiB,38.19%,6.38GB / 360MB,6.42GB / 11.9GB,254
soc-LiveJournal1,1767074584,namenode,1.55%,709.4MiB / 3.828GiB,18.10%,32.9MB / 6.83GB,1.99GB / 410MB,89
soc-LiveJournal1,1767074584,datanode,0.20%,364.4MiB / 3.828GiB,9.30%,7.18GB / 6.4GB,6.53GB / 8.02GB,66
soc-LiveJournal1,1767074584,resourcemanager,0.89%,491.8MiB / 3.828GiB,12.55%,2.31MB / 1.14MB,338MB / 485MB,277
soc-LiveJournal1,1767074584,nodemanager,181.92%,1.232GiB / 3.828GiB,32.20%,6.38GB / 360MB,6.45GB / 12GB,251
soc-LiveJournal1,1767074592,namenode,2.09%,711MiB / 3.828GiB,18.14%,33MB / 6.83GB,1.99GB / 410MB,89
soc-LiveJournal1,1767074592,datanode,0.14%,370.5MiB / 3.828GiB,9.45%,7.18GB / 6.46GB,6.59GB / 8.02GB,67
soc-LiveJournal1,1767074592,resourcemanager,0.88%,492MiB / 3.828GiB,12.55%,2.32MB / 1.14MB,338MB / 485MB,277
soc-LiveJournal1,1767074592,nodemanager,105.77%,1.458GiB / 3.828GiB,38.10%,6.44GB / 360MB,6.45GB / 12GB,259
soc-LiveJournal1,1767074599,namenode,1.41%,711.7MiB / 3.828GiB,18.16%,33MB / 6.83GB,1.99GB / 410MB,89
soc-LiveJournal1,1767074599,datanode,3.54%,372.2MiB / 3.828GiB,9.50%,7.18GB / 6.54GB,6.67GB / 8.02GB,67
soc-LiveJournal1,1767074599,resourcemanager,0.84%,492.2MiB / 3.828GiB,12.56%,2.32MB / 1.14MB,338MB / 485MB,277
soc-LiveJournal1,1767074599,nodemanager,115.98%,1.475GiB / 3.828GiB,38.53%,6.49GB / 361MB,6.45GB / 12GB,256
soc-LiveJournal1,1767074607,namenode,2.19%,705.1MiB / 3.828GiB,17.99%,33MB / 6.83GB,1.99GB / 410MB,89
soc-LiveJournal1,1767074607,datanode,0.69%,358.4MiB / 3.828GiB,9.15%,7.18GB / 6.54GB,6.67GB / 8.02GB,66
soc-LiveJournal1,1767074607,resourcemanager,4.00%,491.2MiB / 3.828GiB,12.53%,2.33MB / 1.14MB,338MB / 485MB,277
soc-LiveJournal1,1767074607,nodemanager,131.88%,1.11GiB / 3.828GiB,29.00%,6.51GB / 361MB,6.46GB / 12GB,248
soc-LiveJournal1,1767074614,namenode,0.75%,707.1MiB / 3.828GiB,18.04%,33MB / 6.83GB,1.99GB / 410MB,89
soc-LiveJournal1,1767074614,datanode,0.15%,363.1MiB / 3.828GiB,9.27%,7.18GB / 6.6GB,6.73GB / 8.02GB,67
soc-LiveJournal1,1767074614,resourcemanager,0.98%,491.3MiB / 3.828GiB,12.53%,2.34MB / 1.15MB,338MB / 485MB,277
soc-LiveJournal1,1767074614,nodemanager,108.45%,1.476GiB / 3.828GiB,38.56%,6.57GB / 361MB,6.48GB / 12GB,260
soc-LiveJournal1,1767074622,namenode,1.46%,714.6MiB / 3.828GiB,18.23%,33MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074622,datanode,0.07%,370.6MiB / 3.828GiB,9.46%,7.18GB / 6.65GB,6.78GB / 8.02GB,67
soc-LiveJournal1,1767074622,resourcemanager,1.00%,493.2MiB / 3.828GiB,12.58%,2.34MB / 1.15MB,338MB / 485MB,277
soc-LiveJournal1,1767074622,nodemanager,112.02%,1.483GiB / 3.828GiB,38.73%,6.62GB / 361MB,6.48GB / 12GB,260
soc-LiveJournal1,1767074628,namenode,1.18%,715.1MiB / 3.828GiB,18.25%,33MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074628,datanode,1.03%,376.4MiB / 3.828GiB,9.60%,7.18GB / 6.68GB,6.81GB / 8.02GB,66
soc-LiveJournal1,1767074628,resourcemanager,1.84%,493.1MiB / 3.828GiB,12.58%,2.35MB / 1.15MB,339MB / 485MB,277
soc-LiveJournal1,1767074628,nodemanager,113.55%,1.503GiB / 3.828GiB,39.27%,6.65GB / 362MB,6.51GB / 12.1GB,259
soc-LiveJournal1,1767074636,namenode,1.27%,716.6MiB / 3.828GiB,18.28%,33MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074636,datanode,4.15%,380.8MiB / 3.828GiB,9.72%,7.18GB / 6.7GB,6.84GB / 8.03GB,67
soc-LiveJournal1,1767074636,resourcemanager,2.79%,493.5MiB / 3.828GiB,12.59%,2.36MB / 1.15MB,339MB / 486MB,277
soc-LiveJournal1,1767074636,nodemanager,124.26%,1.491GiB / 3.828GiB,38.95%,6.68GB / 362MB,6.55GB / 12.1GB,262
soc-LiveJournal1,1767074643,namenode,1.33%,717MiB / 3.828GiB,18.29%,33MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074643,datanode,5.18%,383.5MiB / 3.828GiB,9.79%,7.18GB / 6.77GB,6.9GB / 8.03GB,67
soc-LiveJournal1,1767074643,resourcemanager,1.01%,493.5MiB / 3.828GiB,12.59%,2.36MB / 1.15MB,339MB / 486MB,277
soc-LiveJournal1,1767074643,nodemanager,113.17%,1.511GiB / 3.828GiB,39.47%,6.74GB / 362MB,6.55GB / 12.1GB,261
soc-LiveJournal1,1767074650,namenode,3.45%,717.7MiB / 3.828GiB,18.31%,33MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074650,datanode,0.98%,382.4MiB / 3.828GiB,9.76%,7.18GB / 6.82GB,6.95GB / 8.03GB,66
soc-LiveJournal1,1767074650,resourcemanager,5.09%,494.4MiB / 3.828GiB,12.61%,2.37MB / 1.16MB,340MB / 486MB,277
soc-LiveJournal1,1767074650,nodemanager,107.47%,1.516GiB / 3.828GiB,39.61%,6.79GB / 362MB,6.56GB / 12.1GB,262
soc-LiveJournal1,1767074658,namenode,1.62%,717MiB / 3.828GiB,18.29%,33MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074658,datanode,0.15%,364.1MiB / 3.828GiB,9.29%,7.18GB / 6.82GB,6.95GB / 8.03GB,66
soc-LiveJournal1,1767074658,resourcemanager,2.16%,492.3MiB / 3.828GiB,12.56%,2.38MB / 1.16MB,341MB / 486MB,277
soc-LiveJournal1,1767074658,nodemanager,190.43%,1.218GiB / 3.828GiB,31.81%,6.79GB / 362MB,6.62GB / 12.2GB,256
soc-LiveJournal1,1767074665,namenode,1.70%,722.2MiB / 3.828GiB,18.43%,33MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074665,datanode,0.12%,368.9MiB / 3.828GiB,9.41%,7.18GB / 6.88GB,7.01GB / 8.03GB,67
soc-LiveJournal1,1767074665,resourcemanager,0.77%,489.4MiB / 3.828GiB,12.49%,2.39MB / 1.16MB,341MB / 486MB,277
soc-LiveJournal1,1767074665,nodemanager,144.34%,1.49GiB / 3.828GiB,38.92%,6.85GB / 363MB,6.64GB / 12.2GB,264
soc-LiveJournal1,1767074673,namenode,1.03%,721MiB / 3.828GiB,18.40%,33MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074673,datanode,0.45%,381.9MiB / 3.828GiB,9.74%,7.18GB / 6.93GB,7.07GB / 8.03GB,67
soc-LiveJournal1,1767074673,resourcemanager,0.98%,489.5MiB / 3.828GiB,12.49%,2.39MB / 1.16MB,341MB / 486MB,277
soc-LiveJournal1,1767074673,nodemanager,140.30%,1.503GiB / 3.828GiB,39.26%,6.9GB / 363MB,6.64GB / 12.2GB,263
soc-LiveJournal1,1767074680,namenode,2.44%,722.2MiB / 3.828GiB,18.43%,33MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074680,datanode,0.15%,378.2MiB / 3.828GiB,9.65%,7.18GB / 6.95GB,7.09GB / 8.03GB,66
soc-LiveJournal1,1767074680,resourcemanager,5.05%,490.6MiB / 3.828GiB,12.52%,2.4MB / 1.17MB,342MB / 486MB,277
soc-LiveJournal1,1767074680,nodemanager,185.78%,1.201GiB / 3.828GiB,31.38%,6.92GB / 363MB,6.66GB / 12.2GB,252
soc-LiveJournal1,1767074688,namenode,2.41%,723.7MiB / 3.828GiB,18.46%,33.1MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074688,datanode,2.84%,391.9MiB / 3.828GiB,10.00%,7.18GB / 7.02GB,7.16GB / 8.03GB,67
soc-LiveJournal1,1767074688,resourcemanager,0.74%,491.3MiB / 3.828GiB,12.54%,2.41MB / 1.17MB,342MB / 486MB,277
soc-LiveJournal1,1767074688,nodemanager,102.98%,1.506GiB / 3.828GiB,39.35%,6.99GB / 363MB,6.69GB / 12.2GB,265
soc-LiveJournal1,1767074695,namenode,1.86%,720.2MiB / 3.828GiB,18.37%,33.1MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074695,datanode,0.09%,357.2MiB / 3.828GiB,9.11%,7.18GB / 7.07GB,7.21GB / 8.05GB,67
soc-LiveJournal1,1767074695,resourcemanager,0.66%,490.4MiB / 3.828GiB,12.51%,2.41MB / 1.17MB,342MB / 486MB,277
soc-LiveJournal1,1767074695,nodemanager,110.56%,1.518GiB / 3.828GiB,39.65%,7.04GB / 363MB,6.69GB / 12.2GB,260
soc-LiveJournal1,1767074703,namenode,3.97%,721.2MiB / 3.828GiB,18.40%,33.1MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074703,datanode,0.19%,367.4MiB / 3.828GiB,9.37%,7.18GB / 7.09GB,7.24GB / 8.05GB,66
soc-LiveJournal1,1767074703,resourcemanager,1.01%,490.3MiB / 3.828GiB,12.51%,2.42MB / 1.17MB,342MB / 486MB,277
soc-LiveJournal1,1767074703,nodemanager,120.38%,1.145GiB / 3.828GiB,29.92%,7.06GB / 364MB,6.74GB / 12.3GB,250
soc-LiveJournal1,1767074710,namenode,1.15%,722.1MiB / 3.828GiB,18.42%,33.1MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074710,datanode,4.75%,372.5MiB / 3.828GiB,9.50%,7.18GB / 7.15GB,7.3GB / 8.05GB,67
soc-LiveJournal1,1767074710,resourcemanager,0.61%,491.9MiB / 3.828GiB,12.55%,2.43MB / 1.17MB,344MB / 486MB,277
soc-LiveJournal1,1767074710,nodemanager,155.06%,1.452GiB / 3.828GiB,37.93%,7.13GB / 364MB,6.77GB / 12.3GB,265
soc-LiveJournal1,1767074718,namenode,1.77%,723.1MiB / 3.828GiB,18.45%,33.1MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074718,datanode,1.41%,374.7MiB / 3.828GiB,9.56%,7.18GB / 7.2GB,7.35GB / 8.05GB,67
soc-LiveJournal1,1767074718,resourcemanager,0.45%,492.3MiB / 3.828GiB,12.56%,2.43MB / 1.18MB,345MB / 486MB,277
soc-LiveJournal1,1767074718,nodemanager,137.71%,1.466GiB / 3.828GiB,38.30%,7.18GB / 364MB,6.77GB / 12.3GB,263
soc-LiveJournal1,1767074725,namenode,7.37%,725.7MiB / 3.828GiB,18.52%,33.1MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074725,datanode,1.35%,373.5MiB / 3.828GiB,9.53%,7.18GB / 7.23GB,7.38GB / 8.05GB,66
soc-LiveJournal1,1767074725,resourcemanager,0.73%,492.5MiB / 3.828GiB,12.57%,2.44MB / 1.18MB,345MB / 486MB,277
soc-LiveJournal1,1767074725,nodemanager,107.44%,1.385GiB / 3.828GiB,36.18%,7.2GB / 364MB,6.79GB / 12.4GB,231
soc-LiveJournal1,1767074733,namenode,0.60%,726.6MiB / 3.828GiB,18.54%,33.1MB / 6.83GB,1.99GB / 411MB,89
soc-LiveJournal1,1767074733,datanode,0.20%,361.3MiB / 3.828GiB,9.22%,7.18GB / 7.23GB,7.38GB / 8.05GB,66
soc-LiveJournal1,1767074733,resourcemanager,1.33%,494.3MiB / 3.828GiB,12.61%,2.45MB / 1.18MB,347MB / 486MB,277
soc-LiveJournal1,1767074733,nodemanager,150.39%,1.561GiB / 3.828GiB,40.79%,7.2GB / 364MB,7.02GB / 12.4GB,261
soc-LiveJournal1,1767074740,namenode,1.31%,732.8MiB / 3.828GiB,18.70%,33.1MB / 6.83GB,2GB / 411MB,89
soc-LiveJournal1,1767074740,datanode,2.91%,361.9MiB / 3.828GiB,9.23%,7.21GB / 7.23GB,7.38GB / 8.07GB,68
soc-LiveJournal1,1767074740,resourcemanager,0.76%,494.4MiB / 3.828GiB,12.61%,2.45MB / 1.18MB,347MB / 486MB,277
soc-LiveJournal1,1767074740,nodemanager,112.21%,1.556GiB / 3.828GiB,40.65%,7.2GB / 377MB,7.1GB / 12.6GB,268
soc-LiveJournal1,1767074748,namenode,25.48%,760.5MiB / 3.828GiB,19.40%,33.2MB / 6.83GB,2GB / 411MB,97
soc-LiveJournal1,1767074748,datanode,6.18%,388.8MiB / 3.828GiB,9.92%,7.23GB / 7.23GB,7.4GB / 8.1GB,65
soc-LiveJournal1,1767074748,resourcemanager,10.68%,495.6MiB / 3.828GiB,12.65%,2.47MB / 1.19MB,348MB / 486MB,277
soc-LiveJournal1,1767074748,nodemanager,2.18%,1.056GiB / 3.828GiB,27.59%,7.2GB / 411MB,7.23GB / 12.6GB,171
soc-LiveJournal1,1767074755,namenode,2.29%,763.1MiB / 3.828GiB,19.47%,33.2MB / 6.83GB,2GB / 411MB,97
soc-LiveJournal1,1767074755,datanode,0.09%,392.5MiB / 3.828GiB,10.01%,7.23GB / 7.23GB,7.4GB / 8.1GB,66
soc-LiveJournal1,1767074755,resourcemanager,1.48%,496.2MiB / 3.828GiB,12.66%,2.48MB / 1.2MB,348MB / 486MB,281
soc-LiveJournal1,1767074755,nodemanager,142.39%,992.2MiB / 3.828GiB,25.32%,7.2GB / 411MB,7.29GB / 12.6GB,173
