dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
soc-pokec-relationships,1767074800,namenode,115.01%,459.4MiB / 3.828GiB,11.72%,34MB / 7.26GB,2.01GB / 416MB,85
soc-pokec-relationships,1767074800,datanode,0.10%,419.3MiB / 3.828GiB,10.70%,7.66GB / 7.27GB,7.41GB / 8.5GB,65
soc-pokec-relationships,1767074800,resourcemanager,0.88%,497.7MiB / 3.828GiB,12.70%,2.51MB / 1.21MB,349MB / 486MB,277
soc-pokec-relationships,1767074800,nodemanager,0.45%,628.9MiB / 3.828GiB,16.05%,7.25GB / 412MB,7.34GB / 12.7GB,121
soc-pokec-relationships,1767074806,namenode,1.95%,717.1MiB / 3.828GiB,18.30%,34MB / 7.26GB,2.02GB / 416MB,97
soc-pokec-relationships,1767074806,datanode,0.14%,423.8MiB / 3.828GiB,10.81%,7.66GB / 7.27GB,7.42GB / 8.5GB,66
soc-pokec-relationships,1767074806,resourcemanager,1.01%,500.7MiB / 3.828GiB,12.78%,2.52MB / 1.23MB,352MB / 486MB,279
soc-pokec-relationships,1767074806,nodemanager,137.73%,676.6MiB / 3.828GiB,17.26%,7.25GB / 412MB,7.35GB / 12.7GB,151
soc-pokec-relationships,1767074814,namenode,10.61%,722.1MiB / 3.828GiB,18.42%,34MB / 7.26GB,2.02GB / 416MB,96
soc-pokec-relationships,1767074814,datanode,0.41%,413.7MiB / 3.828GiB,10.56%,7.66GB / 7.27GB,7.42GB / 8.52GB,65
soc-pokec-relationships,1767074814,resourcemanager,4.02%,499.6MiB / 3.828GiB,12.75%,2.53MB / 1.24MB,353MB / 486MB,277
soc-pokec-relationships,1767074814,nodemanager,98.16%,1.021GiB / 3.828GiB,26.67%,7.25GB / 412MB,7.38GB / 12.8GB,228
soc-pokec-relationships,1767074821,namenode,1.48%,719.2MiB / 3.828GiB,18.35%,34MB / 7.26GB,2.02GB / 416MB,95
soc-pokec-relationships,1767074821,datanode,3.97%,417.3MiB / 3.828GiB,10.65%,7.66GB / 7.32GB,7.47GB / 8.52GB,66
soc-pokec-relationships,1767074821,resourcemanager,0.67%,499.6MiB / 3.828GiB,12.75%,2.53MB / 1.24MB,353MB / 486MB,277
