dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
Email-EuAll,1767073394,namenode,175.49%,459.1MiB / 3.828GiB,11.71%,12.1MB / 3.63GB,788MB / 304MB,86
Email-EuAll,1767073394,datanode,0.11%,349.6MiB / 3.828GiB,8.92%,3.83GB / 3.85GB,3.82GB / 4.33GB,65
Email-EuAll,1767073394,resourcemanager,0.56%,446.2MiB / 3.828GiB,11.38%,1.31MB / 641kB,217MB / 409MB,259
Email-EuAll,1767073394,nodemanager,0.53%,621.5MiB / 3.828GiB,15.86%,3.84GB / 211MB,2.75GB / 6.48GB,115
Email-EuAll,1767073401,namenode,2.56%,663.1MiB / 3.828GiB,16.92%,12.1MB / 3.63GB,793MB / 304MB,97
Email-EuAll,1767073401,datanode,0.40%,351.9MiB / 3.828GiB,8.98%,3.84GB / 3.85GB,3.82GB / 4.33GB,66
Email-EuAll,1767073401,resourcemanager,1.17%,449.1MiB / 3.828GiB,11.46%,1.32MB / 651kB,220MB / 409MB,262
Email-EuAll,1767073401,nodemanager,183.83%,732.4MiB / 3.828GiB,18.69%,3.84GB / 211MB,2.75GB / 6.48GB,151
Email-EuAll,1767073409,namenode,2.50%,667.1MiB / 3.828GiB,17.02%,12.1MB / 3.63GB,793MB / 304MB,96
Email-EuAll,1767073409,datanode,0.24%,352.8MiB / 3.828GiB,9.00%,3.84GB / 3.85GB,3.82GB / 4.34GB,65
Email-EuAll,1767073409,resourcemanager,1.17%,450.5MiB / 3.828GiB,11.49%,1.33MB / 660kB,222MB / 409MB,260
Email-EuAll,1767073409,nodemanager,135.84%,1.079GiB / 3.828GiB,28.19%,3.84GB / 211MB,2.75GB / 6.48GB,247
Email-EuAll,1767073416,namenode,4.29%,668.1MiB / 3.828GiB,17.05%,12.1MB / 3.63GB,793MB / 304MB,93
Email-EuAll,1767073416,datanode,0.11%,355.7MiB / 3.828GiB,9.08%,3.84GB / 3.86GB,3.82GB / 4.34GB,67
Email-EuAll,1767073416,resourcemanager,1.79%,451MiB / 3.828GiB,11.51%,1.34MB / 662kB,223MB / 409MB,260
Email-EuAll,1767073416,nodemanager,170.26%,1.131GiB / 3.828GiB,29.56%,3.85GB / 211MB,2.75GB / 6.48GB,246
Email-EuAll,1767073424,namenode,55.77%,688.8MiB / 3.828GiB,17.57%,12.2MB / 3.63GB,795MB / 304MB,98
Email-EuAll,1767073424,datanode,4.60%,359.1MiB / 3.828GiB,9.16%,3.84GB / 3.86GB,3.83GB / 4.34GB,66
Email-EuAll,1767073424,resourcemanager,17.54%,453.1MiB / 3.828GiB,11.56%,1.35MB / 668kB,224MB / 409MB,261
Email-EuAll,1767073424,nodemanager,1.38%,1.049GiB / 3.828GiB,27.41%,3.85GB / 212MB,2.75GB / 6.48GB,173
Email-EuAll,1767073431,namenode,8.92%,693.5MiB / 3.828GiB,17.69%,12.2MB / 3.63GB,798MB / 304MB,98
Email-EuAll,1767073431,datanode,5.17%,362.2MiB / 3.828GiB,9.24%,3.84GB / 3.86GB,3.83GB / 4.34GB,66
Email-EuAll,1767073431,resourcemanager,1.22%,455.1MiB / 3.828GiB,11.61%,1.36MB / 681kB,226MB / 409MB,266
Email-EuAll,1767073431,nodemanager,212.17%,1011MiB / 3.828GiB,25.80%,3.85GB / 212MB,2.75GB / 6.48GB,173
Email-EuAll,1767073439,namenode,3.37%,696.1MiB / 3.828GiB,17.76%,12.2MB / 3.63GB,799MB / 304MB,96
Email-EuAll,1767073439,datanode,3.40%,363.1MiB / 3.828GiB,9.26%,3.84GB / 3.86GB,3.83GB / 4.34GB,67
Email-EuAll,1767073439,resourcemanager,2.17%,455.6MiB / 3.828GiB,11.62%,1.37MB / 687kB,227MB / 409MB,262
Email-EuAll,1767073439,nodemanager,19.19%,1.04GiB / 3.828GiB,27.17%,3.85GB / 212MB,2.75GB / 6.48GB,223
Email-EuAll,1767073446,namenode,5.00%,698.1MiB / 3.828GiB,17.81%,12.2MB / 3.63GB,799MB / 304MB,92
Email-EuAll,1767073446,datanode,1.31%,364.3MiB / 3.828GiB,9.29%,3.84GB / 3.86GB,3.83GB / 4.34GB,66
Email-EuAll,1767073446,resourcemanager,2.55%,455.9MiB / 3.828GiB,11.63%,1.37MB / 689kB,227MB / 409MB,262
Email-EuAll,1767073446,nodemanager,18.39%,1.054GiB / 3.828GiB,27.54%,3.85GB / 213MB,2.75GB / 6.48GB,174
