dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
cit-Patents,1767073464,namenode,154.52%,469.6MiB / 3.828GiB,11.98%,12.8MB / 3.91GB,805MB / 304MB,85
cit-Patents,1767073464,datanode,1.76%,379.9MiB / 3.828GiB,9.69%,4.12GB / 3.86GB,3.84GB / 4.61GB,65
cit-Patents,1767073464,resourcemanager,1.47%,457.1MiB / 3.828GiB,11.66%,1.38MB / 693kB,228MB / 409MB,263
cit-Patents,1767073464,nodemanager,0.83%,630.2MiB / 3.828GiB,16.08%,3.85GB / 213MB,2.75GB / 6.48GB,121
cit-Patents,1767073471,namenode,1.99%,684.5MiB / 3.828GiB,17.47%,12.8MB / 3.91GB,807MB / 305MB,97
cit-Patents,1767073471,datanode,0.10%,383.8MiB / 3.828GiB,9.79%,4.12GB / 3.86GB,3.84GB / 4.61GB,66
cit-Patents,1767073471,resourcemanager,5.22%,464.2MiB / 3.828GiB,11.84%,1.39MB / 703kB,235MB / 409MB,266
cit-Patents,1767073471,nodemanager,191.03%,772.9MiB / 3.828GiB,19.72%,3.85GB / 213MB,2.75GB / 6.48GB,151
cit-Patents,1767073479,namenode,2.00%,688.1MiB / 3.828GiB,17.56%,12.8MB / 3.91GB,808MB / 305MB,96
cit-Patents,1767073479,datanode,0.18%,379.4MiB / 3.828GiB,9.68%,4.12GB / 3.86GB,3.84GB / 4.61GB,65
cit-Patents,1767073479,resourcemanager,2.84%,464.9MiB / 3.828GiB,11.86%,1.4MB / 713kB,236MB / 409MB,264
cit-Patents,1767073479,nodemanager,81.66%,1.033GiB / 3.828GiB,26.99%,3.85GB / 213MB,2.75GB / 6.48GB,224
cit-Patents,1767073486,namenode,0.97%,683.7MiB / 3.828GiB,17.44%,12.8MB / 3.91GB,808MB / 309MB,95
cit-Patents,1767073486,datanode,0.30%,346MiB / 3.828GiB,8.83%,4.12GB / 3.93GB,3.91GB / 4.63GB,66
cit-Patents,1767073486,resourcemanager,0.57%,456.8MiB / 3.828GiB,11.65%,1.41MB / 715kB,236MB / 415MB,264
cit-Patents,1767073486,nodemanager,104.32%,1.416GiB / 3.828GiB,37.00%,3.92GB / 213MB,2.75GB / 6.5GB,256
cit-Patents,1767073494,namenode,2.43%,681MiB / 3.828GiB,17.38%,12.8MB / 3.91GB,808MB / 311MB,93
cit-Patents,1767073494,datanode,0.35%,345.5MiB / 3.828GiB,8.82%,4.12GB / 3.98GB,3.96GB / 4.65GB,66
cit-Patents,1767073494,resourcemanager,0.64%,456.6MiB / 3.828GiB,11.65%,1.41MB / 717kB,237MB / 417MB,264
cit-Patents,1767073494,nodemanager,117.97%,1.423GiB / 3.828GiB,37.18%,3.97GB / 214MB,2.75GB / 6.54GB,252
cit-Patents,1767073501,namenode,0.65%,682.1MiB / 3.828GiB,17.40%,12.8MB / 3.91GB,808MB / 311MB,92
cit-Patents,1767073501,datanode,0.71%,338.9MiB / 3.828GiB,8.65%,4.12GB / 4.01GB,3.99GB / 4.66GB,65
cit-Patents,1767073501,resourcemanager,1.26%,447.9MiB / 3.828GiB,11.43%,1.42MB / 718kB,237MB / 424MB,264
cit-Patents,1767073501,nodemanager,120.27%,1.419GiB / 3.828GiB,37.08%,4GB / 214MB,2.75GB / 6.6GB,251
cit-Patents,1767073509,namenode,4.43%,696MiB / 3.828GiB,17.76%,12.8MB / 3.91GB,810MB / 311MB,92
