dataset,timestamp,container,cpu,mem,mem_pct,net_io,blk_io,pids
soc-pokec-relationships,1767073918,namenode,197.74%,479.3MiB / 3.828GiB,12.23%,23.7MB / 5.44GB,1.14GB / 357MB,86
soc-pokec-relationships,1767073918,datanode,0.59%,367.7MiB / 3.828GiB,9.38%,5.73GB / 5.34GB,5.42GB / 6.4GB,65
soc-pokec-relationships,1767073918,resourcemanager,0.74%,472.9MiB / 3.828GiB,12.07%,1.81MB / 881kB,295MB / 455MB,271
soc-pokec-relationships,1767073918,nodemanager,0.51%,544.5MiB / 3.828GiB,13.89%,5.32GB / 301MB,5.32GB / 10.2GB,121
soc-pokec-relationships,1767073926,namenode,3.02%,669MiB / 3.828GiB,17.07%,23.7MB / 5.44GB,1.14GB / 357MB,97
soc-pokec-relationships,1767073926,datanode,1.66%,371.1MiB / 3.828GiB,9.47%,5.73GB / 5.34GB,5.42GB / 6.4GB,66
soc-pokec-relationships,1767073926,resourcemanager,0.95%,475.9MiB / 3.828GiB,12.14%,1.82MB / 893kB,298MB / 455MB,274
soc-pokec-relationships,1767073926,nodemanager,137.19%,629.2MiB / 3.828GiB,16.05%,5.32GB / 301MB,5.32GB / 10.2GB,149
soc-pokec-relationships,1767073933,namenode,3.15%,658.4MiB / 3.828GiB,16.80%,23.7MB / 5.44GB,1.15GB / 369MB,96
soc-pokec-relationships,1767073933,datanode,0.11%,363.6MiB / 3.828GiB,9.28%,5.74GB / 5.34GB,5.42GB / 6.41GB,65
soc-pokec-relationships,1767073933,resourcemanager,1.76%,471.3MiB / 3.828GiB,12.02%,1.82MB / 900kB,299MB / 458MB,272
soc-pokec-relationships,1767073933,nodemanager,133.99%,1007MiB / 3.828GiB,25.70%,5.32GB / 301MB,5.33GB / 10.3GB,245
soc-pokec-relationships,1767073941,namenode,1.48%,660.2MiB / 3.828GiB,16.84%,23.7MB / 5.44GB,1.15GB / 369MB,93
soc-pokec-relationships,1767073941,datanode,0.19%,357.2MiB / 3.828GiB,9.11%,5.74GB / 5.39GB,5.48GB / 6.41GB,66
soc-pokec-relationships,1767073941,resourcemanager,0.98%,471.8MiB / 3.828GiB,12.04%,1.83MB / 902kB,299MB / 458MB,272
soc-pokec-relationships,1767073941,nodemanager,102.46%,1.315GiB / 3.828GiB,34.35%,5.37GB / 301MB,5.33GB / 10.3GB,257
soc-pokec-relationships,1767073949,namenode,1.44%,661.2MiB / 3.828GiB,16.87%,23.8MB / 5.44GB,1.15GB / 369MB,93
